ds;y
2022-7-14 21:10:0;3
2022-7-14 21:50:0;1
2022-7-14 22:0:0;1
2022-7-14 22:10:0;3
2022-7-14 22:50:0;1
2022-7-14 23:0:0;1
2022-7-14 23:50:0;2
2022-7-14 4:20:0;1
2022-7-14 4:30:0;2
2022-7-14 4:50:0;1
2022-7-14 5:20:0;1
2022-7-14 5:40:0;1
2022-7-14 6:0:0;5
2022-7-14 6:10:0;1
2022-7-14 6:20:0;2
2022-7-14 6:30:0;1
2022-7-14 6:40:0;2
2022-7-14 7:0:0;5
2022-7-14 7:10:0;3
2022-7-14 7:20:0;2
2022-7-14 7:30:0;3
2022-7-14 7:40:0;3
2022-7-14 7:50:0;3
2022-7-14 8:0:0;10
2022-7-14 8:10:0;4
2022-7-14 8:20:0;2
2022-7-14 8:30:0;4
2022-7-14 8:40:0;2
2022-7-14 9:0:0;3
2022-7-14 9:10:0;2
2022-7-14 9:20:0;5
2022-7-14 9:30:0;3
2022-7-14 9:40:0;1
2022-7-14 9:50:0;2
2022-7-15 0:50:0;7
2022-7-15 1:0:0;1
2022-7-15 1:30:0;1
2022-7-15 10:0:0;5
2022-7-15 10:10:0;2
2022-7-15 10:20:0;2
2022-7-15 10:30:0;3
2022-7-15 10:40:0;2
2022-7-15 10:50:0;2
2022-7-15 11:0:0;2
2022-7-15 11:10:0;3
2022-7-15 11:20:0;3
2022-7-15 11:30:0;3
2022-7-15 11:50:0;3
2022-7-15 12:0:0;1
2022-7-15 12:20:0;1
2022-7-15 12:30:0;4
2022-7-15 12:47:0;1
2022-7-15 12:50:0;1
2022-7-15 13:0:0;3
2022-7-15 13:10:0;1
2022-7-15 13:20:0;1
2022-7-15 13:30:0;1
2022-7-15 13:50:0;1
2022-7-15 14:0:0;7
2022-7-15 14:10:0;2
2022-7-15 14:20:0;3
2022-7-15 14:30:0;3
2022-7-15 15:0:0;4
2022-7-15 15:10:0;5
2022-7-15 15:24:0;1
2022-7-15 15:30:0;3
2022-7-15 15:40:0;2
2022-7-15 15:43:0;1
2022-7-15 15:45:0;1
2022-7-15 15:50:0;2
2022-7-15 15:51:0;1
2022-7-15 16:0:0;4
2022-7-15 16:10:0;1
2022-7-15 16:28:0;1
2022-7-15 16:30:0;2
2022-7-15 16:40:0;3
