FECHA;TIME;y
2022-07-13;09:40:00;1
2022-07-13;09:50:00;1
2022-07-13;10:00:00;1
2022-07-13;10:20:00;2
2022-07-13;12:30:00;2
2022-07-13;12:50:00;1
2022-07-13;13:00:00;2
2022-07-13;13:20:00;1
2022-07-13;13:50:00;1
2022-07-13;14:40:00;1
2022-07-13;15:30:00;1
2022-07-13;15:50:00;2
2022-07-13;16:30:00;1
2022-07-13;16:50:00;1
2022-07-13;17:10:00;1
2022-07-13;17:30:00;1
2022-07-13;19:10:00;1
2022-07-13;19:20:00;1
2022-07-13;19:30:00;1
2022-07-13;19:40:00;3
2022-07-13;20:10:00;1
2022-07-14;07:10:00;1
2022-07-14;07:20:00;1
2022-07-14;07:30:00;1
2022-07-14;07:40:00;1
2022-07-14;07:50:00;1
2022-07-14;08:00:00;2
2022-07-14;08:10:00;1
2022-07-14;08:20:00;1
2022-07-14;08:30:00;1
2022-07-14;08:40:00;2
2022-07-14;09:30:00;2
2022-07-14;09:40:00;1
2022-07-14;09:50:00;2
2022-07-14;10:00:00;2
2022-07-14;10:20:00;2
2022-07-14;10:40:00;2
2022-07-14;11:20:00;2
2022-07-14;11:30:00;1
2022-07-14;11:50:00;1
2022-07-14;12:00:00;1
2022-07-14;12:30:00;1
2022-07-14;13:00:00;1
2022-07-14;13:10:00;1
2022-07-14;13:20:00;1
2022-07-14;13:40:00;1
2022-07-14;13:50:00;1
2022-07-14;14:10:00;1
2022-07-14;14:40:00;1
2022-07-14;15:10:00;2
2022-07-14;15:30:00;1
2022-07-14;15:50:00;1
2022-07-14;16:00:00;1
2022-07-14;16:50:00;1
2022-07-14;17:00:00;1
2022-07-14;17:10:00;1
2022-07-14;17:20:00;2
2022-07-14;17:30:00;2
2022-07-14;17:40:00;2
2022-07-14;17:50:00;1
2022-07-14;18:00:00;1
2022-07-14;18:10:00;1
2022-07-14;18:30:00;1
2022-07-14;18:40:00;1
2022-07-14;19:00:00;1
2022-07-14;19:20:00;2
2022-07-14;19:30:00;2
2022-07-14;19:50:00;2
2022-07-15;07:10:00;1
2022-07-15;07:40:00;1
2022-07-15;07:50:00;2
2022-07-15;08:20:00;2
2022-07-15;08:30:00;1
2022-07-15;08:40:00;3
2022-07-15;09:00:00;2
2022-07-15;09:20:00;1
2022-07-15;09:40:00;1
2022-07-15;09:50:00;2
2022-07-15;10:00:00;2
2022-07-15;10:10:00;1
2022-07-15;10:20:00;1
2022-07-15;10:30:00;1
2022-07-15;10:40:00;1
2022-07-15;10:50:00;1
2022-07-15;11:00:00;1
2022-07-15;11:10:00;1
2022-07-15;11:20:00;2
2022-07-15;11:30:00;2
2022-07-15;11:50:00;1
2022-07-15;12:30:00;2
2022-07-15;12:40:00;1
2022-07-15;12:50:00;1
2022-07-15;15:10:00;1
2022-07-15;15:20:00;1
2022-07-15;15:30:00;1
2022-07-15;15:40:00;2
2022-07-15;15:50:00;2
2022-07-15;16:10:00;1
2022-07-15;16:20:00;1
2022-07-15;16:40:00;2
2022-07-15;16:50:00;1
2022-07-15;17:00:00;1
2022-07-15;17:20:00;2
2022-07-15;18:00:00;1
2022-07-15;18:10:00;2
2022-07-15;18:30:00;2
2022-07-15;18:50:00;1
2022-07-15;19:00:00;1
2022-07-15;19:10:00;1
2022-07-15;19:20:00;1
2022-07-15;20:00:00;1
2022-07-15;20:20:00;1
2022-07-15;20:40:00;1
2022-07-16;07:50:00;1
2022-07-16;08:20:00;1
2022-07-16;09:00:00;1
2022-07-16;11:00:00;1
2022-07-16;11:10:00;1
2022-07-16;12:00:00;1
2022-07-16;12:20:00;1
2022-07-16;12:40:00;1
2022-07-16;13:00:00;1
2022-07-16;13:10:00;1
2022-07-16;13:20:00;1
2022-07-16;13:30:00;2
2022-07-16;14:00:00;1
2022-07-16;14:30:00;2
2022-07-16;14:50:00;1
2022-07-16;15:10:00;2
2022-07-16;15:40:00;2
2022-07-16;15:50:00;1
2022-07-16;16:00:00;1
2022-07-16;16:10:00;2
2022-07-16;16:20:00;3
2022-07-16;16:40:00;1
2022-07-16;16:50:00;1
2022-07-16;17:10:00;2
2022-07-16;17:20:00;1
2022-07-16;17:30:00;2
2022-07-16;17:50:00;3
2022-07-16;18:00:00;1
2022-07-16;18:10:00;1
2022-07-18;06:00:00;1
2022-07-18;06:30:00;1
2022-07-18;06:50:00;1
2022-07-18;07:00:00;1
2022-07-18;07:20:00;1
2022-07-18;07:30:00;1
2022-07-18;07:40:00;2
2022-07-18;07:50:00;2
2022-07-18;08:00:00;3
2022-07-18;08:20:00;1
2022-07-18;08:40:00;2
2022-07-18;08:50:00;3
2022-07-18;09:10:00;2
2022-07-18;09:20:00;4
2022-07-18;09:40:00;2
2022-07-18;09:50:00;1
2022-07-18;10:00:00;3
2022-07-18;10:10:00;2
2022-07-18;10:20:00;3
2022-07-18;10:30:00;2
2022-07-18;10:50:00;2
2022-07-18;11:10:00;1
2022-07-18;11:20:00;2
2022-07-18;11:30:00;1
2022-07-18;11:40:00;1
2022-07-18;11:50:00;2
2022-07-18;12:00:00;1
2022-07-18;12:10:00;4
2022-07-18;12:20:00;2
2022-07-18;12:30:00;1
2022-07-18;13:00:00;2
2022-07-18;13:20:00;1
2022-07-18;13:40:00;1
2022-07-18;14:00:00;1
2022-07-18;14:10:00;1
2022-07-18;14:30:00;1
2022-07-18;14:40:00;2
2022-07-18;15:00:00;2
2022-07-18;15:30:00;2
2022-07-18;15:40:00;1
2022-07-18;15:50:00;1
2022-07-18;16:10:00;2
2022-07-18;16:30:00;1
2022-07-18;16:50:00;1
2022-07-18;17:00:00;1
2022-07-18;17:10:00;2
2022-07-18;17:20:00;1
2022-07-18;17:30:00;1
2022-07-18;17:50:00;2
2022-07-18;18:10:00;2
2022-07-18;18:20:00;1
2022-07-18;18:30:00;1
2022-07-18;18:40:00;1
2022-07-18;18:50:00;1
2022-07-18;19:10:00;1
2022-07-18;19:20:00;2
2022-07-18;19:30:00;2
2022-07-18;19:50:00;2
2022-07-18;20:10:00;1
2022-07-18;20:40:00;1
2022-07-19;00:30:00;1
2022-07-19;00:50:00;1
2022-07-19;04:40:00;1
2022-07-19;07:20:00;1
2022-07-19;07:30:00;1
2022-07-19;07:40:00;2
2022-07-19;07:50:00;2
2022-07-19;08:00:00;1
2022-07-19;08:10:00;1
2022-07-19;08:20:00;3
2022-07-19;08:30:00;3
2022-07-19;08:40:00;1
2022-07-19;08:50:00;2
2022-07-19;09:00:00;3
2022-07-19;09:10:00;2
2022-07-19;09:20:00;1
2022-07-19;09:50:00;2
2022-07-19;10:00:00;1
2022-07-19;10:10:00;2
2022-07-19;10:20:00;1
2022-07-19;11:00:00;2
2022-07-19;11:20:00;1
2022-07-19;11:40:00;3
2022-07-19;11:50:00;3
2022-07-19;12:10:00;1
2022-07-19;12:20:00;1
2022-07-19;12:30:00;1
2022-07-19;12:50:00;1
2022-07-19;13:00:00;1
2022-07-19;13:20:00;1
2022-07-19;13:30:00;1
2022-07-19;14:10:00;1
2022-07-19;14:30:00;4
2022-07-19;14:50:00;2
2022-07-19;15:00:00;1
2022-07-19;15:10:00;2
2022-07-19;15:20:00;2
2022-07-19;15:30:00;1
2022-07-19;15:50:00;3
2022-07-19;16:00:00;1
2022-07-19;16:20:00;1
2022-07-19;16:50:00;1
2022-07-19;17:00:00;2
2022-07-19;17:10:00;1
2022-07-19;17:30:00;2
2022-07-19;17:40:00;1
2022-07-19;18:00:00;3
2022-07-19;18:10:00;2
2022-07-19;18:30:00;2
2022-07-19;18:40:00;1
2022-07-19;19:00:00;1
2022-07-19;19:10:00;3
2022-07-19;19:30:00;2
2022-07-19;19:40:00;1
2022-07-19;19:50:00;1
2022-07-19;20:00:00;1
2022-07-19;20:30:00;2
2022-07-19;20:40:00;1
2022-07-19;20:50:00;1
2022-07-20;00:00:00;2
2022-07-20;00:50:00;1
2022-07-20;05:00:00;1
2022-07-20;07:10:00;1
2022-07-20;07:40:00;1
2022-07-20;07:50:00;1
2022-07-20;08:00:00;1
2022-07-20;08:10:00;2
2022-07-20;08:20:00;1
2022-07-20;08:40:00;2
2022-07-20;08:50:00;2
2022-07-20;09:00:00;1
2022-07-20;09:10:00;2
2022-07-20;09:20:00;2
2022-07-20;10:10:00;1
2022-07-20;10:20:00;1
2022-07-20;10:30:00;3
2022-07-20;10:40:00;4
2022-07-20;10:50:00;1
2022-07-20;11:00:00;5
2022-07-20;11:10:00;1
2022-07-20;11:40:00;1
2022-07-20;11:50:00;1
2022-07-20;12:20:00;2
2022-07-20;12:30:00;3
2022-07-20;12:40:00;3
2022-07-20;12:50:00;3
2022-07-20;13:00:00;4
2022-07-20;13:10:00;2
2022-07-20;13:20:00;2
2022-07-20;13:30:00;2
2022-07-20;13:40:00;2
2022-07-20;13:50:00;2
2022-07-20;14:00:00;4
2022-07-20;14:20:00;6
